site,Site1,Group,Sample_ID,EC (dS/m),Land type,Vegetation,Arch,Bac
HK2,1,A1,SRR26081759,0.144,Garden land,Apple trees,1.641531706,2.337985884
HK41,7,A1,SRR26081754,0.255,Arable land,Wheat,1.551652003,2.717629389
HK30,4,A1,SRR26081723,0.304,Wasteland,Thatch,3.311356547,3.106215229
HK37,8,A1,SRR26081755,0.31,Arable land,Maize (unseeded),1.5303499,2.631452719
HK4,2,A1,SRR26081758,0.371,Arable land,Wheat,2.308583135,2.181536389
HK74,3,A1,SRR26081742,0.38,Arable land,Wheat,1.470998405,2.074031028
HK56,11,A1,SRR26081749,0.402,Arable land,Rice (unseeded),2.620141642,2.310469744
HK48,6,A2,SRR26081752,0.431,Rahabilitation area,No plants,2.160415193,2.404550083
HK45,10,A2,SRR26081753,0.489,Arable land,Wheat,1.529271635,3.132363515
HK54,13,A2,SRR26081750,0.591,Wasteland,Trees,1.526438091,2.910250796
HK34,9,A2,SRR26081756,0.784,Arable land,Wheat,4.886169474,3.033983583
HK31,15,A2,SRR26081757,0.97,Arable land,Wheat,2.393950872,2.58830078
HK23,18,A2,SRR26081725,1.313,Arable land,Wheat,1.950218982,2.392435094
HK110,21,A2,SRR26081729,1.859,Arable land,Wheat,2.979691867,2.572916814
HK103,19,A2,SRR26081731,2.76,Arable land,Wheat,1.817634653,2.497673452
HK71,5,B1,SRR26081743,0.239,Wasteland,Reed,1.561466084,2.687336687
HK77,12,B1,SRR26081741,0.329,Wasteland,Aeluropus,1.476365757,2.879726601
HK100,16,B1,SRR26081732,1.018,Wasteland,Tamarix,1.291965051,2.689755051
HK19,14,B1,SRR26081726,1.164,Wasteland,Aeluropus,1.602354375,2.652060048
HK50,22,B1,SRR26081751,1.75,Wasteland,Aeluropus,2.954639979,3.345553073
HK79,27,B1,SRR26081740,1.865,Woodland,Tamarix,3.257179943,2.533234882
HK91,24,B1,SRR26081735,2.24,Wasteland,"Tamarix, suaeda",2.581016078,3.997521478
HK61,33,B2,SRR26081746,5.48,Wasteland,"Tamarix, suaeda",1.173127472,2.846396074
HK26,23,B2,SRR26081724,2.44,Wasteland,Aeluropus,3.909844911,4.018074742
HK83,32,B2,SRR26081739,3.33,Wasteland,Reed,2.479050743,2.849751165
HK59,29,B2,SRR26081748,3.41,Mud flat,Reed,2.487371281,3.686860111
HK87,31,B2,SRR26081738,3.84,Mud flat,Reed,1.940335042,2.320945777
HK64,25,B2,SRR26081745,4.16,Wasteland,Reed,2.135340242,3.74312799
HK10,17,B2,SRR26081736,4.49,Wasteland,Reed,1.887272672,2.930508834
HK14,20,C,SRR26081728,5.06,Wasteland,Reed,2.131295151,4.098348133
HK106,30,C,SRR26081730,5.27,Wasteland,No plants,1.967051254,3.887367858
HK67,28,C,SRR26081744,6.74,Wasteland,No plants,2.937465728,3.573629274
HK95,26,C,SRR26081734,6.94,Wasteland,No plants,3.31069822,4.697241405
HK88,36,C,SRR26081737,7.05,Wasteland,No plants,2.429842766,3.036775353
HK97,34,C,SRR26081733,9.75,Wasteland,No plants,3.902878959,3.951570491
HK9,37,C,SRR26081747,10.85,Wasteland,No plants,3.239174539,3.864393539
HK17,35,C,SRR26081727,13.65,Wasteland,No plants,5.598290511,4.459239358
