Genome,SRR26081723,SRR26081724,SRR26081725,SRR26081726,SRR26081727,SRR26081728,SRR26081729,SRR26081730,SRR26081731,SRR26081732,SRR26081733,SRR26081734,SRR26081735,SRR26081736,SRR26081737,SRR26081738,SRR26081739,SRR26081740,SRR26081741,SRR26081742,SRR26081743,SRR26081744,SRR26081745,SRR26081746,SRR26081747,SRR26081748,SRR26081749,SRR26081750,SRR26081751,SRR26081752,SRR26081753,SRR26081754,SRR26081755,SRR26081756,SRR26081757,SRR26081758,SRR26081759
C_bin.137,0,0.011602231,0,0,0.46366617,0.0698344,0,0,0,0,0.12589481,0.15124802,0,0,0.25103197,0,0,0,0,0,0,0.010138359,0,0.03504628,0,0,0,0,0,0,0,0,0,0,0,0,0
C_bin.67,0,0,0,0,0.44642058,0,0,0,0,0,0.01837932,0.02076381,0,0,0.21754518,0,0,0,0,0,0,0.024698094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_bin.51,0,0,0,0,0.01742723,0,0,0,0,0,0,0.28511417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_bin.32,0,0,0,0,0.008242896,0.015872417,0,0,0,0,0.02870076,0,0.028097104,0,0.1141338,0,0,0,0,0,0,0.09165171,0,0.008175509,0,0,0,0,0,0,0,0,0,0,0,0,0
C_bin.133,0,0,0,0,0,0.18868312,0,0,0.0703113,0,0,0,0,0.05016803,0,0,0,0,0,0,0,0.00316881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_bin.83,0,0,0,0.012634841,0,0.030816972,0,0,0,0,0.15908512,0,0.033447545,0.014682141,0.021206701,0,0.008883657,0,0,0,0,0.04361285,0.11722934,0.012170024,0.14972585,0,0,0,0.25107878,0,0,0,0,0,0,0,0
C_bin.6,0,0.025891326,0,0.005453507,0.011061207,0.037127033,0,1.1359087,0,0,0.07050125,0.068088666,0,0.006405637,0.02416258,0,0,0,0,0,0,0,0,0,0.015163384,0,0,0,0.14216651,0,0,0,0,0,0,0,0
B1_bin.52,0.04223722,0,0,0,0,0,0,0,0,0,0,0.016107263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5725138,0,0,0,0,0,0,0,0
A2_bin.5,0,0.00447093,0.008442413,0.006097229,0,0,0.030266562,0,0.053017784,0.012935748,0,0,0,0.06883083,0.018647458,0,0,0.047133766,0.009510472,0.04513763,0.033768937,0.03901622,0.008973692,0,0,0,0.08131606,0.1080146,0,0.03472765,0.45378292,0.10928623,0.013884382,0.012586574,0,0.017391106,0.010410761
C_bin.176,0.04725764,0.013689383,0,0,0.010815251,0.15693158,0,0,0,0,0.024003515,0,0.008510779,0.006031168,0.014650719,0,0.00978254,0,0,0,0,0.1327779,0.01264154,0,0.13530897,0,0,0.008373519,0.13567558,0,0,0,0,0,0,0,0
B2_bin.53,0.011891243,0.28490004,0,0.02310895,0,0.039859843,0,0,0.015850207,0.010724697,0,0,0.019144477,0.007059093,0,0,0.007981787,0.008185101,0,0,0,0,0.023027457,0.078750834,0,0,0,0,0.011930334,0.00884792,0,0,0,0.033176377,0.006833195,0,0
C_bin.58,0,0,0,0,0.007554345,0.029658971,0,0.23357922,0,0,0.039640766,0.09881668,0.008249875,0.022632616,0.04738464,0.027836494,0.29634923,0,0,0,0,0.005583143,0.31904942,0.013759899,0.028231656,0.08356901,0,0,0.0380154,0,0,0,0,0,0,0,0
C_bin.25,0,0,0,0,0.014831286,0.03580059,0,0.05354471,0,0,0.0503365,0.015774716,0.007062349,0.008495176,0.12924737,0,0,0,0,0,0,0.007174055,0.00770935,0,0.015153292,0,0,0,0,0,0,0,0,0,0,0,0
C_bin.37,0,0,0,0,0.06146966,0,0,0,0,0,0.14624037,0.008919608,0,0,0.05335415,0,0,0,0,0,0,0.015052964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_bin.29,0,0.004689729,0,0,0,0.004590427,0.027958626,0,0,0,0,0,0.077120826,0,0,0,0,0,0,0,0,0,0.17046596,0.016032591,0,0,0,0,0,0,0,0,0,0,0,0,0
C_bin.35,0.082713634,0,0,0,0,0.056566045,0,0,0,0,0,0,0,0.04505632,0.010859154,0,0.0844676,0,0,0,0,0.006884594,0.037062407,0.021619055,0.16081549,0,0,0,0.21269023,0,0,0,0,0,0,0,0
C_bin.99,0,0.031621836,0,0,0,0.1060028,0,0.64781445,0,0,0.27708128,0.007380733,0,0.013189116,0.07572323,0,0,0,0,0,0,0.020744396,0.03809336,0.013175443,0.11239148,0,0,0,0.24759316,0,0,0,0,0,0.004450311,0,0
B2_bin.1,0.54432243,0.13211454,0.05847888,0.07191358,0.014495519,0.014447935,0.13913053,0,0.087727115,0.33588514,0.013190527,0.00500878,0,0.056948442,0,0,0,0.06550646,0.021544905,0.08364351,0.14478576,0.056543086,0.011222876,0,0.034747824,0,0.012943799,0.14433236,0.008351586,0.11801526,0.07188439,0.08851043,0.07317519,0.31902748,0.049802218,0.044862334,0.12134911
A1_bin.3,0,0,0,0,0,0,0.008518382,0,0,0,0,0,0,0,0,0,0,0,0,0.043867704,0.013189457,0,0,0,0,0,0.009355854,0.079128,0,0.006873846,0,0.04096799,0.13758397,0,0,0.04490817,0.021258622
C_bin.152,0,0.004852875,0,0,0.06233431,0.11772885,0,0.10802947,0,0,0,0.09362157,0,0,0.04960304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_bin.15,0,0.004872507,0,0.006145691,0,0.029315563,0,0,0,0,0.29822183,0,0,0,0.023506667,0,0,0,0,0,0,0.005824871,0,0,0,0,0,0.038741585,0,0,0,0,0,0,0,0,0
C_bin.75,0.011655834,0.014381354,0,0.029932655,0,0.10183614,0,0.01266904,0,0,0.059456196,0.005974465,0.08364198,0.10934799,0.021866651,0,0.42309955,0,0,0,0,0.046995886,0.4689788,0.028465811,0.28619683,0.005406005,0,0.006086696,0.32597813,0.021141386,0,0,0,0,0,0,0
B2_bin.17,0,0.047608674,0.036073737,0,0,0.12056694,0,0,0.007271569,0,0.08257497,0,0,0.28830862,0.05158706,0,0.08413596,0.010529785,0,0,0,0.056271177,0.13749334,0,0.021946874,0,0,0,0.08589904,0.011651313,0,0,0,0,0,0,0
B2_bin.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007096876,0.09104718,0,0,0,0,0,0,0.15869457,0.21513411,0.010728854,0,0,0.05184556,0,0,0,0,0,0,0,0
B2_bin.90,0.057401255,0.012581324,0.3272578,0.34147725,0.096859165,0.039836776,0.25010005,0.021654509,0.47276348,0.34546486,0.032908313,0.018928193,0.00455864,0.32895747,0.017185451,0,0.009066513,0.91294307,0.26834112,0.08717677,0.48129162,0.057996016,0.014055339,0,0.13306154,0,0.3607368,0.42531124,0.12506421,0.19516045,0.57941234,0.26149368,0.18564822,0.14990193,0.25191274,0.16453338,0.056694236
C_bin.168,0,0,0,0,0.13943763,0,0,0,0,0,0.041766934,0.1023923,0,0,0.056418415,0,0,0,0,0,0,0,0,0,0.021314358,0,0,0,0,0,0,0,0,0,0,0,0
B1_bin.36,0,0,0,0,0.028046193,0.040604517,0,0.033148024,0,0,0.06378312,0,0.49936047,0,0.1571074,0,0,0,0,0,0,0,0.005701211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2_bin.30,0.017204147,0.06155068,0.063423,0.05774162,0,0.007878071,0.008812184,0,0.015669918,0.016371867,0.004601301,0,0.036471743,0.014610046,0,0,0,0.021090645,0.01606519,0,0,0.08505755,0.12715186,0.03375297,0,0,0,0.01681111,0.022885792,0.031946663,0,0.00989682,0.021482617,0.014643861,0.0441892,0.008330379,0
B1_bin.33,0,0,0,0.47476426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005428975,0.006205082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1_bin.11,0.06493878,0.07307121,0.012403071,0.010405216,0.009039918,0.087725215,0.059390172,0,0.026210345,0.036410842,0.011532971,0,0.06423611,0.15700312,0.009063627,0,0,0.11184521,0.017061163,0.014637354,0.040990062,0.152044,0.0398627,0,0.022246154,0,0.029508129,0.24232167,0.012763724,0.030136162,0.26569557,0.2700154,0.015932055,0.026530666,0.011840225,0.006853817,0
C_bin.132,0,0,0,0,0.009580666,0.014611657,0,0,0,0,0.045384634,0.16191061,0.004660756,0.006295316,0.04483117,0,0.029769417,0,0,0,0,0,0.031054264,0.027852321,0.27175796,0.006248429,0,0,0.18516676,0,0,0,0,0,0,0,0
B1_bin.2,0.060178336,0.016084306,0.06454704,0.13655934,0,0,0.07548483,0,0.093703054,0.06650714,0,0,0,0.029887844,0,0,0,0.054776024,0.019261153,0.012531489,0.022971673,0.019467134,0.008319896,0,0,0,0.021478832,0.060170904,0,0.10898006,0.021786204,0.025241094,0.135882,0.037122503,0.05178781,0.041795515,0.003916488
B2_bin.79,0,0.2004743,0.019681253,0,0,0,0.008648958,0,0,0,0,0,0,0,0,0,0,0,0,0.007916897,0,0.004630654,0,0,0,0,0,0,0,0,0,0,0.016887007,0,0,0.011577113,0
C_bin.165,0,0.009570668,0,0,0.06286524,0.052740388,0,1.3971765,0,0,0.12407486,0.109263495,0,0,0.37419236,0,0,0,0,0,0,0,0,0,0.23204367,0,0,0,0,0,0,0,0,0,0,0,0
C_bin.122,0.02977538,0.006138015,0,0,0,0,0,0.7276751,0,0,0.00437428,0,0,0.005265138,0,0,0,0,0.013721815,0,0.013372497,0.004662551,0,0,0.15904188,0,0,0.013127115,0.050735526,0,0,0,0,0,0,0,0
B2_bin.66,0.008869745,0.23452942,0,0,0,0.09489629,0,0.0161698,0,0,0.010885772,0,0.031011706,0.03542134,0,0,0.12842575,0,0,0,0,0.013677093,0.08349028,0,0.007236873,0,0,0,0.05574003,0,0,0,0,0,0,0,0
C_bin.53,0,0,0,0,0.056652337,0,0,0.04222315,0,0,0.110024445,0.24474747,0,0,0.10106246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_bin.43,0,0,0,0,0.022024779,0.014342173,0,0.028676687,0,0,0.15713342,0.2459503,0,0,0.028332489,0,0,0,0,0,0,0,0,0,0.006696534,0,0,0,0,0,0,0,0,0,0,0,0
C_bin.156,0,0,0,0,0,0.37512726,0,0,0,0,0,0,0,0.027012931,0.012803577,0,0.05153578,0,0,0,0,0,0,0,0,0,0,0.09753241,0,0,0,0,0,0,0,0,0
B2_bin.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20311092,0,0,0,0,0,0,0,0,0,0.28528693,0,0,0,0,0,0,0,0,0,0,0
C_bin.52,0.012509839,0.045738503,0,0,0,0.13754404,0,0,0,0,0.03314933,0,0.04089098,0,0.01892334,0,0,0,0,0,0,0.07902516,0.040036704,0.0639763,0.00738127,0,0,0,0.013043887,0.0391389,0,0,0,0,0.007368226,0,0
